map,region,area type,elderly percentage,access to doctors,uninsured,diabetes,cardiovascular disease,poverty,african american,Hispanic,risk score,vulnerability score,covid risk,social vulnerability
38011,midwest,rural,high elderly percentage,null,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,very low african american population,medium hispanic population,0.092009,0.270030776,very low covid risk index,very low social vulnerability rank
24037,southeast,small city,very low elderly percentage,high access to doctors,very low uninsured rate,high diabetes rate,very high cardiovascular disease rate,very low poverty rate,null,medium hispanic population,0.092327,0.260638863,very low covid risk index,very low social vulnerability rank
24013,southeast,suburban,low elderly percentage,moderate access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.092646,0.267377693,very low covid risk index,very low social vulnerability rank
38069,midwest,rural,very high elderly percentage,very low access to doctors,moderate uninsured rate,low diabetes rate,low cardiovascular disease rate,low poverty rate,low african american population,very low hispanic population,0.092964,0.296561605,very low covid risk index,very low social vulnerability rank
51013,southeast,urban,very low elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,very low poverty rate,high african american population,very high hispanic population,0.093282,0.310622944,very low covid risk index,very low social vulnerability rank
18063,midwest,suburban,very low elderly percentage,moderate access to doctors,very low uninsured rate,moderate diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,medium hispanic population,0.093601,0.265149103,very low covid risk index,very low social vulnerability rank
9011,northeast,small city,moderate elderly percentage,low access to doctors,very low uninsured rate,low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.093919,0.243977502,very low covid risk index,very low social vulnerability rank
31145,midwest,rural,high elderly percentage,low access to doctors,low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,low african american population,medium hispanic population,0.094238,0.299957551,very low covid risk index,very low social vulnerability rank
27043,midwest,rural,very high elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,very low cardiovascular disease rate,low poverty rate,very low african american population,high hispanic population,0.094556,0.259630691,very low covid risk index,very low social vulnerability rank
27015,midwest,rural,high elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,low african american population,medium hispanic population,0.094874,0.249283668,very low covid risk index,very low social vulnerability rank
45019,southeast,small city,low elderly percentage,very low access to doctors,high uninsured rate,moderate diabetes rate,low cardiovascular disease rate,moderate poverty rate,null,medium hispanic population,0.095193,0.261647034,very low covid risk index,very low social vulnerability rank
46083,midwest,small city,very low elderly percentage,very low access to doctors,very low uninsured rate,low diabetes rate,low cardiovascular disease rate,very low poverty rate,low african american population,low hispanic population,0.095511,0.270667515,very low covid risk index,very low social vulnerability rank
26047,midwest,rural,high elderly percentage,very low access to doctors,low uninsured rate,very low diabetes rate,moderate cardiovascular disease rate,very low poverty rate,low african american population,very low hispanic population,0.095829,0.271410379,very low covid risk index,very low social vulnerability rank
9007,northeast,suburban,moderate elderly percentage,low access to doctors,very low uninsured rate,very low diabetes rate,low cardiovascular disease rate,very low poverty rate,high african american population,high hispanic population,0.096148,0.277936963,very low covid risk index,very low social vulnerability rank
46093,midwest,small city,very low elderly percentage,low access to doctors,moderate uninsured rate,low diabetes rate,very low cardiovascular disease rate,very low poverty rate,medium african american population,medium hispanic population,0.096466,0.261540911,very low covid risk index,very low social vulnerability rank
